file,start,end,words
seg_001.wav,1.370,4.121,"Jadi habis pasal, kisah zaman"
seg_002.wav,4.497,12.655,"dolok marek ah. Jadi kamek mok tanyak pasal permainan tok. Apa macam, sigek, permainan nak kitak pernah main waktu zaman kitak dolok?"
seg_003.wav,13.917,14.727,Main Seremban
seg_004.wav,16.366,17.929,Camne main permainan ya ?
seg_005.wav,18.173,21.753,"Main Seremban macam batu ada tujuh igek, dibalit balit tangan."
seg_006.wav,22.412,25.272,"Mun ada batu lekat dekat tangan ya, ya dikira markah."
seg_007.wav,25.668,27.533,Mun nya ada tujuh igek ya dikira markah.
seg_008.wav,27.948,31.338,Tapi mun nya sikda lekat dekat tangan dikira abislah mainan ya
seg_009.wav,31.338,33.354,Oh macam yalah peraturan ya lah
seg_010.wav,33.354,38.728,Aok peraturan ya. Nya mesti ada batu rah tangan pakei dikira berapa jumlah nya lah
seg_011.wav,39.086,43.287,Brapa jumlah nya oleh nya limak ka enam ka dicampur semua.
seg_012.wav,43.702,45.340,Sapa yang paling banyak menanglah
seg_013.wav,45.830,49.788,"Tapi mun sikda batu rah tangan dibalit agik, bemakna kosonglah sikda markah lagiklah"
seg_014.wav,52.086,56.325,Permainan Seremban tok nya ada masa kah untuk kitak sedia dengan main?
seg_015.wav,56.645,57.775,"Memang ada sedia,"
seg_016.wav,58.322,65.499,"berapa orang tubuh kah, kadang-kadang duak lawan duak, tiga lawan tiga pun boleh ngekot berapa jumlah sapa yang paling banyak nya menanglah"
seg_017.wav,66.818,70.124,"Oh mun kitak dah padah tadik tapi mek sik jelas gilak,"
seg_018.wav,70.444,73.176,camne mok tauk markah untuk main Seremban tok?
seg_019.wav,73.816,81.883,"Sapa nya dapat oleh banyak ya, misal kata sorang ya dapat 30, antara takduak dapat 20, yang 30 lah menang, markah yang paling tinggi."
seg_020.wav,81.883,82.373,ooh
seg_021.wav,82.373,85.952,Dikira daripada oleh batu ya tek nak diatas tangan ya tek nak di
seg_022.wav,86.291,87.120,di balit ya tek bah
seg_023.wav,87.535,90.601,Aa sapa yang banyak oleh markah ya
seg_024.wav,91.091,93.446,"daripada batu nak dikira, ya dikira menang lah"
seg_025.wav,94.312,97.402,Jadi kitak nang suka lah main Seremban tok?
seg_026.wav,97.703,100.303,Suka. Pertama sekali nya berkumpulan
seg_027.wav,101.622,102.846,Keduak kali nya duduk.
seg_028.wav,103.430,104.753,Duduk dengan
seg_029.wav,105.733,107.522,mudah lah stakat tok
seg_030.wav,108.558,113.155,Oh jadi boleh kitak padah kenak kitak suka game tok?
seg_031.wav,113.419,116.353,"Kenak game tok, sikda perlu nak pegi diluar rumah,"
seg_032.wav,116.711,117.954,sit pun didalam rumah
seg_033.wav,118.444,122.852,adik beradik banyak dapat begumpul bermain main bercampur keluarga keluarga.
seg_034.wav,123.191,125.226,Lagikpun sika da barang lain nak dimain.
seg_035.wav,126.394,128.749,"Nak main dolok zaman dolok marek, ne da pa pa nak dimain"
seg_036.wav,129.069,134.080,Oh okay okay. Jadi yajak lah soalan kamek aritok. Terima kasih.
seg_037.wav,135.068,135.827,Sama-sama
